date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,25
Sep 2011,237
Oct 2011,84
Nov 2011,0
Dec 2011,365
Jan 2012,206
Feb 2012,648
Mar 2012,2111
Apr 2012,1068
May 2012,1203
Jun 2012,1031
Jul 2012,1171
Aug 2012,939
Sep 2012,753
Oct 2012,4382
Nov 2012,568
Dec 2012,346
Jan 2013,1189
Feb 2013,1363
Mar 2013,5487
Apr 2013,5190
May 2013,2311
Jun 2013,12376
Jul 2013,5262
Aug 2013,5047
Sep 2013,1594
Oct 2013,10250
Nov 2013,10997
Dec 2013,2008
Jan 2014,3642
Feb 2014,3061
Mar 2014,5153
Apr 2014,3258
May 2014,4559
Jun 2014,1253
Jul 2014,3164
Aug 2014,6711
Sep 2014,4012
Oct 2014,1921
Nov 2014,1103
Dec 2014,688
